127.0.0.1 - - [05/Nov/2014 16:47:46] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:46] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:46] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:46] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:46] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0009
127.0.0.1 - - [05/Nov/2014 16:47:46] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:46] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:46] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:58] "GET / HTTP/1.1" 200 3264 0.0109
127.0.0.1 - - [05/Nov/2014 16:47:59] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:59] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:59] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:59] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:59] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:59] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:59] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:59] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:48:12] "GET / HTTP/1.1" 200 3264 0.0108
127.0.0.1 - - [05/Nov/2014 16:48:13] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:48:13] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:48:13] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:48:13] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:48:13] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:48:13] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0004
127.0.0.1 - - [05/Nov/2014 16:48:13] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:48:13] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:48:14] "GET / HTTP/1.1" 200 3264 0.0113
127.0.0.1 - - [05/Nov/2014 16:48:15] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:48:15] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:48:15] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0004
127.0.0.1 - - [05/Nov/2014 16:48:15] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:48:15] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:48:15] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:48:15] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:48:15] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0003
127.0.0.1 - - [05/Nov/2014 16:48:23] "GET / HTTP/1.1" 200 3264 0.0147
127.0.0.1 - - [05/Nov/2014 16:48:24] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:48:24] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:48:24] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0004
127.0.0.1 - - [05/Nov/2014 16:48:24] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:48:24] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:48:24] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:48:24] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:48:24] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:18] "GET / HTTP/1.1" 200 3269 0.0122
127.0.0.1 - - [05/Nov/2014 16:49:18] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [05/Nov/2014 16:49:18] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:18] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:18] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:18] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:18] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:18] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:49:18] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:30] "GET / HTTP/1.1" 200 3220 0.0119
127.0.0.1 - - [05/Nov/2014 16:49:30] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:49:30] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:30] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:30] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:30] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:30] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:30] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:30] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:49:31] "GET /user/login HTTP/1.1" 200 3807 0.0105
127.0.0.1 - - [05/Nov/2014 16:49:32] "GET /javascripts/bootstrapValidator.js HTTP/1.1" 304 - 0.0004
127.0.0.1 - - [05/Nov/2014 16:49:32] "GET /javascripts/user_login.js HTTP/1.1" 304 - 0.0003
127.0.0.1 - - [05/Nov/2014 16:49:32] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320 0.0010
127.0.0.1 - - [05/Nov/2014 16:49:33] "GET /user/register HTTP/1.1" 200 4732 0.0222
127.0.0.1 - - [05/Nov/2014 16:49:33] "GET /javascripts/user_register.js HTTP/1.1" 200 3010 0.0010
127.0.0.1 - - [05/Nov/2014 16:49:34] "GET / HTTP/1.1" 200 3220 0.0114
127.0.0.1 - - [06/Nov/2014 00:04:54] "GET / HTTP/1.1" 200 3220 0.0884
127.0.0.1 - - [06/Nov/2014 00:04:54] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [06/Nov/2014 00:04:54] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0016
127.0.0.1 - - [06/Nov/2014 00:04:54] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [06/Nov/2014 00:04:54] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [06/Nov/2014 00:04:54] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [06/Nov/2014 00:04:54] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [06/Nov/2014 00:04:54] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [06/Nov/2014 00:04:54] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [06/Nov/2014 00:06:47] "GET / HTTP/1.1" 200 3225 0.0114
127.0.0.1 - - [06/Nov/2014 00:06:47] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [06/Nov/2014 00:06:47] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [06/Nov/2014 00:06:47] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [06/Nov/2014 00:06:47] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [06/Nov/2014 00:06:47] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [06/Nov/2014 00:06:47] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [06/Nov/2014 00:06:47] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [06/Nov/2014 00:06:47] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 21:07:31] "POST /weixin?timestamp=1415452051&nonce=ukjumwcyokfxebinvzsfqasjbq8etw3z&signature=6e8e343af0927ad23b11dbb025f7330803abd314 HTTP/1.1" 200 249 0.0192
127.0.0.1 - - [08/Nov/2014 21:08:20] "POST /weixin?timestamp=1415452100&nonce=v6djikasvjno0yb41kwu5hxtzihbylxa&signature=ffc8ccc4c83db7fd0d89176948625f88982145d8 HTTP/1.1" 200 249 0.0086
127.0.0.1 - - [08/Nov/2014 21:09:21] "POST /weixin?timestamp=1415452161&nonce=seozvnkrfydsbbhitpl8z9mfq150nmwj&signature=a3fee3352dad56802358998228a1c650311dee7f HTTP/1.1" 200 249 0.0264
127.0.0.1 - - [08/Nov/2014 21:10:06] "POST /weixin?timestamp=1415452206&nonce=mhlqeyrbg5qe69pfv12igjzdt7os4dlb&signature=2c3bf84d84b9642db2ff9ab62526352bd315385a HTTP/1.1" 200 249 0.0486
127.0.0.1 - - [08/Nov/2014 21:13:52] "POST /weixin?timestamp=1415452432&nonce=xu8pdi3e1vgya05ihfmsn7bkoqpmqgk4&signature=2c8c9f9ceadd50189405520f7c704fe8d5d2a048 HTTP/1.1" 200 249 0.0122
127.0.0.1 - - [08/Nov/2014 21:15:35] "POST /weixin?timestamp=1415452535&nonce=2trt0hiwvzefhmm8up7bo6ilxbz9nsc3&signature=38bffe2fb5a753eac5b0b21ce960c2d08a24cec8 HTTP/1.1" 200 249 0.0274
127.0.0.1 - - [08/Nov/2014 21:16:51] "POST /weixin?timestamp=1415452611&nonce=oachnpgwhfykzocfbx08dl4mvqn3qbp2&signature=5634ff9939f32b98494f40a5fe9fe83a1604bd21 HTTP/1.1" 200 249 0.0268
